index,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI_14,MACD,ATR_14,signal,pos,ret,equity
676.0,107.0,107.5,106.5,107.5,4427353.0,107.975,107.80980996769055,46.46754878424796,-0.44291434538330066,0.9661545735621181,0,0.0,0.004672897196261738,0.94724780749104
677.0,107.5,107.5,107.0,107.5,4742230.0,107.9,107.78030425648193,46.46754878424795,-0.413225772420148,0.9328578183076811,0,0.0,0.0,0.94724780749104
678.0,107.0,107.5,106.5,106.5,9339786.0,107.775,107.65837051776936,40.42536991091388,-0.46502844861801407,0.9376536884285611,0,0.0,-0.009302325581395321,0.94724780749104
679.0,106.5,107.0,106.5,106.5,5127011.0,107.65,107.54804951607704,40.42536991091387,-0.5003151214383479,0.9063927106836639,0,0.0,0.0,0.94724780749104
680.0,106.5,107.0,106.5,107.0,4889755.0,107.55,107.49585432406971,44.60245841976459,-0.48237373836097674,0.877364659920545,0,0.0,0.0046948356807512415,0.94724780749104
681.0,107.0,107.0,106.5,106.5,3209597.0,107.425,107.40101105511069,41.4710344261609,-0.5027060024643362,0.8504100413547918,0,0.0,-0.004672897196261627,0.94724780749104
682.0,107.0,107.5,106.5,107.0,5517630.0,107.325,107.36281952605252,45.5852267101512,-0.4730209557935723,0.8610950384008781,0,0.0,0.0046948356807512415,0.94724780749104
683.0,107.0,107.5,106.5,107.0,3413554.0,107.25,107.32826528547609,45.5852267101512,-0.44437288839290545,0.8710168213722439,0,0.0,0.0,0.94724780749104
684.0,107.0,107.5,107.0,107.5,3455241.0,107.225,107.34462097257361,49.68692720866718,-0.37697770295486066,0.844515619845655,1,0.0,0.004672897196261738,0.94724780749104
685.0,107.5,108.5,107.5,108.5,5423582.0,107.275,107.45465707042374,56.71448449498382,-0.24010708527031,0.8556216469995368,1,1.0,0.009302325581395321,0.9560594150025845
686.0,108.0,109.5,108.0,109.0,7943352.0,107.375,107.60183258752623,59.74228567537521,-0.09024996787904627,0.9016486722138557,1,1.0,0.004608294930875667,0.9604652187583569
687.0,108.5,109.0,108.0,108.5,5025995.0,107.425,107.68737234109516,55.55715124984625,-0.011698095645101603,0.9086737670557231,1,1.0,-0.004587155963302725,0.9560594150025846
688.0,108.0,108.0,107.5,107.5,5115718.0,107.4,107.66952735622895,48.27347228916045,-0.029793374143906703,0.9151970694088858,1,1.0,-0.009216589861751112,0.9472478074910401
689.0,107.5,108.0,107.0,107.0,7628637.0,107.325,107.60576284611192,45.09037877373553,-0.0835171008977511,0.9212544215939654,0,1.0,-0.0046511627906976605,0.9428420037352678
690.0,108.0,109.5,107.5,109.5,8131379.0,107.45,107.78616638457744,59.477937004951286,0.07477362145633037,1.0340219629086822,1,0.0,0.02336448598130847,0.9428420037352678
691.0,109.5,109.5,109.0,109.5,7580978.0,107.575,107.94938863366531,59.477937004951286,0.19793844812740247,0.9958775369866334,1,1.0,0.0,0.9428420037352678
692.0,109.0,109.5,109.0,109.5,3504811.0,107.65,108.09706590664956,59.477937004951286,0.2921793983896208,0.9604577129161596,1,1.0,0.0,0.9428420037352678
693.0,109.5,110.0,109.0,110.0,6541354.0,107.825,108.2782977250639,61.96725492064409,0.4025712608641214,0.9632821619935766,1,1.0,0.004566210045662045,0.9471472183641959
694.0,109.5,110.0,109.0,109.5,5093971.0,107.925,108.39465032267685,58.122092061376485,0.4445868652431244,0.9659048647083212,1,1.0,-0.004545454545454519,0.9428420037352677
695.0,109.5,110.0,109.0,110.0,5411829.0,108.075,108.5475407681362,60.7452779700674,0.5123245967053833,0.9683402315148697,1,1.0,0.004566210045662045,0.9471472183641958
696.0,110.0,110.0,109.0,110.0,6433358.0,108.2,108.6858702187899,60.74527797006741,0.5595570119911315,0.9706016435495218,1,1.0,0.0,0.9471472183641958
697.0,110.0,110.0,109.5,110.0,7194019.0,108.325,108.81102543604801,60.74527797006741,0.5901857474772356,0.9369872404388416,1,1.0,0.0,0.9471472183641958
698.0,110.0,110.5,109.5,110.0,4426471.0,108.5,108.92426110880534,60.74527797006741,0.6074568565050527,0.9414881518360672,1,1.0,0.0,0.9471472183641958
699.0,109.5,110.0,109.0,110.0,5774856.0,108.675,109.02671243177626,60.7452779700674,0.6140657669228062,0.9456675695620624,1,1.0,0.0,0.9471472183641958
700.0,109.5,110.0,109.0,109.5,6870576.0,108.8,109.07178743827376,55.69213723049624,0.5723597478264821,0.9495484574504865,1,1.0,-0.004545454545454519,0.9428420037352676
701.0,109.0,110.0,108.5,110.0,8249369.0,108.975,109.16018863462864,59.33508868146393,0.5730475135165278,0.9888664247754518,1,1.0,0.004566210045662045,0.9471472183641957
702.0,110.0,110.0,109.5,110.0,5449294.0,109.125,109.24017066942591,59.33508868146393,0.5670559052848887,0.9539473944343481,1,1.0,0.0,0.9471472183641957
